# Found 2012 lines in ascl.php
ascl:1201.002 Roche
ascl:1210.008 Rockstar
ascl:1210.031 RVLIN
# ascl:9912.003 RVSAO 2.0
ascl:1110.013 S2HAT
ascl:1211.001 S2LET
ascl:1103.003 S2PLOT
ascl:1111.003 Saada
ascl:1203.011 SALT2
ascl:0003.002 SAOImage
ascl:1210.029 Sapporo
ascl:1010.063 SCAMP
ascl:1209.012 Scanamorphos
ascl:1210.012 SearchCal
ascl:1201.003 SeBa
# ascl:1101.001 Second-order Tight-coupling Code</td><td>Prior to
ascl:1102.010 SEREN
ascl:1010.064 SExtractor
ascl:1210.005 SGNAPS
# ascl:1011.005 Shape of Cosmic String Loops</td><td>Complicated 
ascl:1204.010 Shape
ascl:1108.017 SHELLSPEC
ascl:1108.002 SHERA
ascl:1107.005 Sherpa
ascl:1110.004 SHTOOLS
ascl:1110.023 SiFTO
ascl:1107.016 SIGPROC
ascl:1010.025 SimFast21
ascl:1110.022 simple_cosfitter
# ascl:1010.026 <span style="font-size
ascl:1212.008 SIR
ascl:1111.008 SITools2
ascl:1102.020 SKID
ascl:1109.003 SKIRT
ascl:1109.019 SkyCat
ascl:1010.066 SkyMaker
ascl:1105.004 SLiM
ascl:9906.001 SLOPES
ascl:1010.035 SLR
ascl:1106.012 SLUG
ascl:1210.021 SMART
ascl:1202.013 SME
ascl:1010.027 SNANA
ascl:1107.001 SNID
ascl:1208.013 SolarSoft
ascl:1105.006 SPARC
ascl:1010.016 SpDust/SpDust.2
ascl:1010.007 SPEAR
ascl:1203.003 spec2d
ascl:1111.005 SPECTCOL
ascl:1202.010 SPECTRE
ascl:9910.002 SPECTRUM
ascl:1210.016 Specview
ascl:9912.001 SPH_1D
ascl:1103.009 SPHRAY
ascl:1103.004 SPLASH
ascl:1103.005 Splotch
ascl:1201.013 SPS
ascl:1105.012 Stagger
# ascl:1111.010 Starbase Data Tables
ascl:1104.003 Starburst99
ascl:1010.074 StarCrash
ascl:0011.001 StarFinder
ascl:1204.008 StarFISH
ascl:1010.076 Starlab
ascl:1108.006 STARLIGHT
ascl:1110.012 Starlink
ascl:1107.008 STARS
ascl:1206.006 statpl
ascl:1108.018 STECKMAP
ascl:1108.013 STELLA
ascl:1110.006 STIFF
ascl:1105.001 STILTS
ascl:1204.009 STOKES
ascl:1206.003 STSDAS
ascl:1010.067 Stuff
# ascl:1105.007 Sunspot Models</td><td>This IDL code creates a th
ascl:1109.007 SuperBayeS
# ascl:1109.014 Supernova Flux-averaging Likelihood Code</td><td>
ascl:1208.012 Swarm-NG
ascl:1010.068 SWarp
ascl:1112.018 SwiftVis
ascl:1010.055 SYNOW
ascl:1109.022 Synspec
# ascl:1210.018 Systemic Console
ascl:1210.006 TA-DA
ascl:1202.004 TALYS
# ascl:1106.014 Transit Analysis Package &#40;TAP and autoKep&#41
ascl:1210.015 Tempo2
# ascl:1112.003 THERMINATOR 2
# ascl:1206.012 Time Utilities</td><td>Time Utilities are softwar
# ascl:1010.057 Tiny Tim
ascl:1111.015 TIPSY
ascl:1208.008 TiRiFiC
ascl:1108.012 TITAN
ascl:1109.021 TLUSTY
ascl:1209.007 TMCalc
ascl:1104.001 TomograPy
ascl:1101.010 TOPCAT
# ascl:1011.018 Transit of a Spherical Planet of a Stellar Chromo
ascl:1210.014 TRIP
# ascl:1011.011 Accurate Modeling of Weak Lensing with the sGL Me
ascl:1205.004 Turbospectrum
ascl:1210.025 TwoDSSM
ascl:1104.007 ULySS
ascl:1110.021 Univiewer
ascl:1207.003 VAC
ascl:1111.012 VAPOR
ascl:1208.016 VARTOOLS
# ascl:1010.021 <span style="font-style
ascl:1204.007 VH-1
ascl:1201.006 VIM
ascl:1010.058 VINE
ascl:1204.012 VirGO
ascl:1103.007 VisIt
ascl:1011.020 VisIVO
# ascl:1211.006 Voronoi binning method</td><td>The Voronoi binnin
ascl:1205.011 VOSpec
# ascl:1108.003 WCSLIB and PGSBOX</td><td>WCSLIB is a C library, 
ascl:1109.015 WCSTools
ascl:1010.042 WeightMixer
ascl:1010.069 WeightWatcher
ascl:1010.084 WhiskyMHD
ascl:9910.007 WINGSPAN
ascl:1204.001 WM-basic
ascl:1212.007 WOLF
ascl:1204.014 WOMBAT
ascl:1010.071 WSHAPE
ascl:1207.014 wvrgcal
# ascl:1211.003 WVT Binning
ascl:1107.010 XDSPRES
ascl:1112.013 XEphem
ascl:1212.002 XPHOT
ascl:1207.008 xSonify
ascl:9910.005 XSPEC
ascl:9910.008 XSTAR
ascl:1203.010 Youpi
ascl:1011.022 yt
ascl:1110.005 ZEBRA
ascl:1102.027 ZENO
ascl:1102.028 ZEUS-MP/2
ascl:1202.002 ZODIPIC
ascl:1011.003 ZPEG
# Found 558 code entries
